Mass (kg),TAS (kts),CL,CD
33500,370,0.38537836436665873,0.023792142865154926
33500,380,0.36536217508168684,0.023206091240236426
33500,390,0.34686586510056266,0.022692321206506508
33500,400,0.32973936301122236,0.02224039385324282
33500,410,0.31385067270550604,0.021841587545550246
33500,420,0.29908332245915853,0.02148858251715515
34000,330,0.4916963761854774,0.02742884772780329
34000,340,0.4631984028252464,0.026367557654814508
34000,350,0.43710804380896734,0.025451474236537583
34000,360,0.41316153832251934,0.02465739581321219
34000,370,0.3911302802527283,0.023966332949092534
34000,380,0.3708153418739508,0.023362656692994706
34000,390,0.3520429675647502,0.02283343578946003
34000,400,0.33466084604124063,0.02236791739304852
34000,410,0.3185350111040957,0.021957117578664368
34000,420,0.3035472526451161,0.02159349644894752
34500,330,0.49892720524702855,0.02770820588928881
34500,340,0.47001014404326474,0.026615471884639245
34500,350,0.4435361032767463,0.0256722467214869
34500,360,0.4192374432978505,0.024854641320653816
34500,370,0.3968821961387978,0.024143103626866252
34500,380,0.3762685086662148,0.023521541633941996
34500,390,0.3572200700289377,0.022976640958827683
34500,400,0.33958232907125885,0.022497330170480966
34500,410,0.3232193495026853,0.02207435916782462
34500,420,0.30801118283107376,0.021699964661210887
35000,330,0.5061580343085798,0.027991642272109887
35000,340,0.4768218852612831,0.026867005300300843
35000,350,0.4499641627445252,0.025896242162420882
35000,360,0.42531334827318173,0.025054766324554445
35000,370,0.4026341120248674,0.024322454898476082
35000,380,0.38172167545847885,0.0236827460630783
35000,390,0.3623971724931252,0.023121936714609465
35000,400,0.3445038121012771,0.02262863218554017
35000,410,0.327903687901275,0.02219331231303101
35000,420,0.31247511301703135,0.021807987153945253
35500,330,0.5133888633701308,0.028279156876266517
35500,340,0.48363362647930136,0.027122157901799296
35500,350,0.4563922222123041,0.02612346055933952
35500,360,0.4313892532485128,0.02525777082491407
35500,370,0.40838602791093687,0.024504386763922026
35500,380,0.3871748422507428,0.023846269980403612
35500,390,0.36757427495731265,0.023269323056805367
35500,400,0.34942529513129533,0.02276182343822612
35500,410,0.3325880262998646,0.02231397701428354
35500,420,0.3169390432029889,0.021917563927150614
36000,330,0.5206196924316819,0.028570749701758706
36000,340,0.4904453676973197,0.027380929689134605
36000,350,0.46282028168008305,0.026353901912242822
36000,360,0.437465158223844,0.0254636548217327
36000,370,0.4141379437970064,0.024688899223204084
36000,380,0.39262800904300676,0.024012113385917938
36000,390,0.37275137742150016,0.0234187999854154
36000,400,0.3543467781613136,0.022896903928538822
36000,410,0.33727236469845423,0.022436353271582197
36000,420,0.3214029733889465,0.022028694980826977
36500,330,0.5278505214932331,0.028866420748586447
36500,340,0.49725710891533803,0.02764332066230677
36500,350,0.469248341147862,0.026587566221130787
36500,360,0.4435410631991752,0.025672418315010333
36500,370,0.41988985968307596,0.024875992276322253
36500,380,0.39808117583527075,0.024180276279621278
36500,390,0.3779284798856877,0.023570367500439556
36500,400,0.3592682611913318,0.023033873656478278
36500,410,0.3419567030970439,0.022560441084926993
36500,420,0.3258669035749041,0.022141380314974337
37000,330,0.5350813505547842,0.029166170016749742
37000,340,0.5040688501333564,0.027909330821315803
37000,350,0.4756764006156409,0.026824453486003416
37000,360,0.44961696817450636,0.025884061304746967
37000,370,0.4256417755691455,0.025065665923276536
37000,380,0.40353434262753474,0.024350758661513625
37000,390,0.3831055823498752,0.023724025601877842
37000,400,0.3641897442213501,0.02317273262204448
37000,410,0.3466410414956336,0.022686240454317923
